cell,domain,s,reuse,pattern,breadth,realized_selectivity,union_share,n_queries,A,B,C,CBO,D,O,D_plus,optimal,regret_D,regret_CBO,regret_D_plus,regret_C,regret_A,regret_B,C_over_A,C_over_B,D_over_CBO,D_over_O,A_over_O,B_over_O,union_rows,semantic_rows_A,semantic_rows_B,semantic_rows_C,semantic_rows_D,tokens_A,tokens_D,switches_D,plan_hist_D,p95_A,p95_D
ecom|s1|r10|PRED_NESTED|c1,ecom,1,10,PRED_NESTED,1,0.01036,0.0191,10,2.596484,0.268394,0.050396,0.055346,0.055346,0.050396,0.055346,C,0.09821,0.09821,0.09821,0.0,50.52132,4.32567,0.0194,0.1878,1.0,1.0982,51.5213,5.3257,191,10000,1036,191,210,1058958,22248,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,787.9
ecom|s1|r10|PRED_NESTED|c2,ecom,1,10,PRED_NESTED,2,0.01036,0.0191,10,5.195016,0.53634,0.100019,0.109904,0.109904,0.100019,0.109904,C,0.09883,0.09883,0.09883,0.0,50.9405,4.3624,0.0193,0.1865,1.0,1.0988,51.9405,5.3624,382,20000,2072,382,420,2011724,42258,1,"{""EAGER"": 0, ""LATE_PERSIST"": 9, ""PER_QUERY"": 1}",13.4,1589.4
ecom|s1|r10|PRED_NESTED|c4,ecom,1,10,PRED_NESTED,4,0.01036,0.0191,10,9.73208,1.003856,0.186657,0.205159,0.205159,0.186657,0.205159,C,0.09912,0.09912,0.09912,0.0,51.13879,4.37807,0.0192,0.1859,1.0,1.0991,52.1388,5.3781,764,40000,4144,764,840,3727256,78288,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2970.4
ecom|s1|r10|PRED_OVERLAP|c1,ecom,1,10,PRED_OVERLAP,1,0.00979,0.0515,10,2.596484,0.253908,0.134083,0.147783,0.147783,0.134083,0.147783,C,0.10217,0.10217,0.10217,0.0,18.36468,0.89365,0.0516,0.5281,1.0,1.1022,19.3647,1.8937,515,10000,979,515,568,1058958,59981,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2046.6
ecom|s1|r10|PRED_OVERLAP|c2,ecom,1,10,PRED_OVERLAP,2,0.00979,0.0515,10,5.195016,0.507097,0.267597,0.294986,0.294986,0.267597,0.294986,C,0.10235,0.10235,0.10235,0.0,18.41358,0.895,0.0515,0.5277,1.0,1.1024,19.4136,1.895,1030,20000,1958,1030,1136,2011724,113940,1,"{""EAGER"": 0, ""LATE_PERSIST"": 9, ""PER_QUERY"": 1}",13.4,4165.0
ecom|s1|r10|PRED_OVERLAP|c4,ecom,1,10,PRED_OVERLAP,4,0.00979,0.0515,10,9.73208,0.948862,0.500634,0.551903,0.551903,0.500634,0.551903,C,0.10241,0.10241,0.10241,0.0,18.43951,0.89532,0.0514,0.5276,1.0,1.1024,19.4395,1.8953,2060,40000,3916,2060,2272,3727256,211066,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,7813.8
ecom|s1|r10|PRED_MUTEX|c1,ecom,1,10,PRED_MUTEX,1,0.01,0.1,10,2.596484,0.259284,0.260084,0.259284,0.259284,0.259284,0.259284,B,0.0,0.0,0.0,0.00309,9.01405,0.0,0.1002,1.0031,1.0,1.0,10.0141,1.0,1000,10000,1000,1000,1000,1058958,105800,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,2109.7
ecom|s1|r10|PRED_MUTEX|c2,ecom,1,10,PRED_MUTEX,2,0.01,0.1,10,5.195016,0.518192,0.519792,0.518192,0.518192,0.518192,0.518192,B,0.0,0.0,0.0,0.00309,9.02527,0.0,0.1001,1.0031,1.0,1.0,10.0253,1.0,2000,20000,2000,2000,2000,2011724,201004,0,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 10}",13.4,4287.6
ecom|s1|r10|PRED_MUTEX|c4,ecom,1,10,PRED_MUTEX,4,0.01,0.1,10,9.73208,0.970008,0.973208,0.970008,0.970008,0.970008,0.970008,B,0.0,0.0,0.0,0.0033,9.03299,0.0,0.1,1.0033,1.0,1.0,10.033,1.0,4000,40000,4000,4000,4000,3727256,372412,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,8043.4
ecom|s1|r50|PRED_SHARED|c1,ecom,1,50,PRED_SHARED,1,0.0103,0.0103,50,2.599684,1.330175,0.030606,0.057129,0.057129,0.030606,0.057129,C,0.86661,0.86661,0.86661,0.0,83.94062,42.46139,0.0118,0.023,1.0,1.8666,84.9406,43.4614,103,10000,5150,103,206,1058958,21712,,"{""EAGER"": 0, ""LATE_PERSIST"": 0, ""PER_QUERY"": 0}",13.4,13.4
