cell,scope,reuse,union_share,cap_share,pred_C_beats_A,actual_C_beats_A,correct
ecom|s5|r50|NESTED|w4|CELL,CELL,50,0.099,0.02,0,0,1
ecom|s5|r100|DISJOINT|w1|WORKLOAD,WORKLOAD,100,0.9931,1.0,1,1,1
ecom|s5|r100|DISJOINT|w1|CAP_10PCT,CAP_10PCT,100,0.9931,0.1,0,0,1
ecom|s5|r100|DISJOINT|w1|CELL,CELL,100,0.9931,0.01,0,0,1
ecom|s5|r100|DISJOINT|w2|WORKLOAD,WORKLOAD,100,0.994,1.0,1,1,1
ecom|s5|r100|DISJOINT|w2|CAP_10PCT,CAP_10PCT,100,0.994,0.1,0,0,1
ecom|s5|r100|DISJOINT|w2|CELL,CELL,100,0.994,0.01,0,0,1
ecom|s5|r100|DISJOINT|w4|WORKLOAD,WORKLOAD,100,0.9946,1.0,1,1,1
ecom|s5|r100|DISJOINT|w4|CAP_10PCT,CAP_10PCT,100,0.9946,0.1,0,0,1
ecom|s5|r100|DISJOINT|w4|CELL,CELL,100,0.9946,0.01,0,0,1
ecom|s5|r100|OVERLAP|w1|WORKLOAD,WORKLOAD,100,0.9217,1.0,1,1,1
ecom|s5|r100|OVERLAP|w1|CAP_10PCT,CAP_10PCT,100,0.9217,0.1,0,0,1
ecom|s5|r100|OVERLAP|w1|CELL,CELL,100,0.9217,0.01,0,0,1
ecom|s5|r100|OVERLAP|w2|WORKLOAD,WORKLOAD,100,0.9247,1.0,1,1,1
ecom|s5|r100|OVERLAP|w2|CAP_10PCT,CAP_10PCT,100,0.9247,0.1,0,0,1
ecom|s5|r100|OVERLAP|w2|CELL,CELL,100,0.9247,0.01,0,0,1
ecom|s5|r100|OVERLAP|w4|WORKLOAD,WORKLOAD,100,0.9235,1.0,1,1,1
ecom|s5|r100|OVERLAP|w4|CAP_10PCT,CAP_10PCT,100,0.9235,0.1,0,0,1
ecom|s5|r100|OVERLAP|w4|CELL,CELL,100,0.9235,0.01,0,0,1
ecom|s5|r100|NESTED|w1|WORKLOAD,WORKLOAD,100,0.1008,1.0,1,1,1
ecom|s5|r100|NESTED|w1|CAP_10PCT,CAP_10PCT,100,0.1008,0.1,0,1,0
ecom|s5|r100|NESTED|w1|CELL,CELL,100,0.1008,0.01,0,0,1
ecom|s5|r100|NESTED|w2|WORKLOAD,WORKLOAD,100,0.1008,1.0,1,1,1
ecom|s5|r100|NESTED|w2|CAP_10PCT,CAP_10PCT,100,0.1008,0.1,0,1,0
ecom|s5|r100|NESTED|w2|CELL,CELL,100,0.1008,0.01,0,0,1
ecom|s5|r100|NESTED|w4|WORKLOAD,WORKLOAD,100,0.1008,1.0,1,1,1
ecom|s5|r100|NESTED|w4|CAP_10PCT,CAP_10PCT,100,0.1008,0.1,0,1,0
ecom|s5|r100|NESTED|w4|CELL,CELL,100,0.1008,0.01,0,0,1
ecom|s10|r1|DISJOINT|w1|WORKLOAD,WORKLOAD,1,0.0971,1.0,1,1,1
ecom|s10|r1|DISJOINT|w1|CAP_10PCT,CAP_10PCT,1,0.0971,0.1,1,1,1
ecom|s10|r1|DISJOINT|w1|CELL,CELL,1,0.0971,1.0,1,1,1
ecom|s10|r1|DISJOINT|w2|WORKLOAD,WORKLOAD,1,0.0963,1.0,1,1,1
ecom|s10|r1|DISJOINT|w2|CAP_10PCT,CAP_10PCT,1,0.0963,0.1,1,1,1
ecom|s10|r1|DISJOINT|w2|CELL,CELL,1,0.0963,1.0,1,1,1
ecom|s10|r1|DISJOINT|w4|WORKLOAD,WORKLOAD,1,0.0982,1.0,1,1,1
ecom|s10|r1|DISJOINT|w4|CAP_10PCT,CAP_10PCT,1,0.0982,0.1,1,1,1
ecom|s10|r1|DISJOINT|w4|CELL,CELL,1,0.0982,1.0,1,1,1
ecom|s10|r1|OVERLAP|w1|WORKLOAD,WORKLOAD,1,0.1038,1.0,1,1,1
ecom|s10|r1|OVERLAP|w1|CAP_10PCT,CAP_10PCT,1,0.1038,0.1,0,1,0
ecom|s10|r1|OVERLAP|w1|CELL,CELL,1,0.1038,1.0,1,1,1
ecom|s10|r1|OVERLAP|w2|WORKLOAD,WORKLOAD,1,0.0994,1.0,1,1,1
ecom|s10|r1|OVERLAP|w2|CAP_10PCT,CAP_10PCT,1,0.0994,0.1,1,1,1
ecom|s10|r1|OVERLAP|w2|CELL,CELL,1,0.0994,1.0,1,1,1
ecom|s10|r1|OVERLAP|w4|WORKLOAD,WORKLOAD,1,0.1032,1.0,1,1,1
ecom|s10|r1|OVERLAP|w4|CAP_10PCT,CAP_10PCT,1,0.1032,0.1,0,1,0
ecom|s10|r1|OVERLAP|w4|CELL,CELL,1,0.1032,1.0,1,1,1
ecom|s10|r1|NESTED|w1|WORKLOAD,WORKLOAD,1,0.1019,1.0,1,1,1
ecom|s10|r1|NESTED|w1|CAP_10PCT,CAP_10PCT,1,0.1019,0.1,0,1,0
ecom|s10|r1|NESTED|w1|CELL,CELL,1,0.1019,1.0,1,1,1
ecom|s10|r1|NESTED|w2|WORKLOAD,WORKLOAD,1,0.1019,1.0,1,1,1
ecom|s10|r1|NESTED|w2|CAP_10PCT,CAP_10PCT,1,0.1019,0.1,0,1,0
ecom|s10|r1|NESTED|w2|CELL,CELL,1,0.1019,1.0,1,1,1
ecom|s10|r1|NESTED|w4|WORKLOAD,WORKLOAD,1,0.1019,1.0,1,1,1
ecom|s10|r1|NESTED|w4|CAP_10PCT,CAP_10PCT,1,0.1019,0.1,0,1,0
ecom|s10|r1|NESTED|w4|CELL,CELL,1,0.1019,1.0,1,1,1
ecom|s10|r10|DISJOINT|w1|WORKLOAD,WORKLOAD,10,0.6523,1.0,1,1,1
ecom|s10|r10|DISJOINT|w1|CAP_10PCT,CAP_10PCT,10,0.6523,0.1,0,1,0
ecom|s10|r10|DISJOINT|w1|CELL,CELL,10,0.6523,0.1,0,0,1
ecom|s10|r10|DISJOINT|w2|WORKLOAD,WORKLOAD,10,0.6567,1.0,1,1,1
